核准登記營業日期,縣市旅宿登記證號,類別,標章,溫泉標章,旅宿名稱,縣市,鄉鎮,郵遞區號,地址,電話或手機,傳真,房間數,電子郵件,網址
2025-03-28,南投縣民宿1253號,民宿,,否,有茶民宿,南投縣,竹山鎮,557,南投縣竹山鎮中山里25鄰文化路5號,0988-353109,-,4,5thebnb@gmail.com,
2025-04-01,澎湖縣民宿1548號,民宿,,否,伊勾瑞民宿,澎湖縣,湖西鄉,885,澎湖縣湖西鄉許家村1鄰港子尾140之6號,0928-933339,-,4,hello91014@gmail.com,
2025-04-01,臺東縣民宿2218號,民宿,,否,天盛安家一館民宿,臺東縣,臺東市,950,臺東縣臺東市中華路二段238巷88號,0937-600733,-,5,c0937600733@gmail.com,
2023-06-13,澎湖縣民宿1382號,民宿,,否,海享玩民宿,澎湖縣,馬公市,880,澎湖縣馬公市鐵線里5鄰鐵線尾222號,0982-508479,-,5,,
2013-03-18,新北市旅館267號,旅館,,否,基瓦諾龍洞四季灣,新北市,貢寮區,228,新北市貢寮區和美街48號(1層),02-24901000,02-24902000,14,service@kivano.com.tw,http://www.kivano.com.tw
2006-10-18,屏東縣民宿037號,民宿,,否,佐秀民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮網紗里25鄰環城北路327號,08-8883088,08-8881956,4,jolin2882100@yahoo.com.tw,http://js8883088.pixnet.net/
2014-11-25,澎湖縣民宿336號,民宿,,否,風島藍民宿,澎湖縣,馬公市,880,澎湖縣馬公市西文里10鄰文學路15號,06-9218122,06-9218133,5,asdfgg8122@yahoo.com.tw,
2025-03-28,臺東縣旅館162號,旅館,,否,千富大飯店,臺東縣,臺東市,950,臺東縣臺東市新站路54巷30號,089-235083,-,54,mrnotel.hc@gmail.com,
2025-03-28,新北市民宿419號,民宿,,否,有餘和宿,新北市,瑞芳區,224,新北市瑞芳區建基路2段89號之1,0955-688006,-,2,yoyohuang@gmail.com,
2025-03-27,桃園市民宿155號,民宿,,否,順時埔壹號,桃園市,大溪區,335,桃園市大溪區中央路25巷11號,0916-138521,-,2,tsaichungliang@yahoo.com.tw,
2025-03-27,臺北市旅館806號,旅館,,否,太子文旅-修齊館,臺北市,中正區,100,臺北市中正區思源街16、16之1號,02-23631066,02-23630789,95,hsiuchiroom@prince.com.tw,https://hsiuchi.prince.com.tw/rooms.php
2025-03-27,桃園市民宿154號,民宿,,否,九宿溪,桃園市,大溪區,335,桃園市大溪區金城路9號,03-3881813,-,2,iversonwpnc@yahoo.com.tw,
2025-03-27,澎湖縣民宿1549號,民宿,,否,森の家民宿,澎湖縣,馬公市,880,澎湖縣馬公市鐵線里1鄰吉海路980巷88弄10號,0937-603727,-,3,riooo26@gmail.com,
2025-03-27,新竹縣民宿158號,民宿,,否,巴燕家,新竹縣,尖石鄉,313,新竹縣尖石鄉秀巒村8鄰斯馬庫斯1之2號臨,0963-352490,-,2,,
2025-03-26,屏東縣民宿1547號,民宿,,否,蘭亭敘民宿,屏東縣,長治鄉,908,屏東縣長治鄉中興路566-5號,0916-903190,-,4,,
2025-03-26,臺南市民宿802號,民宿,,否,1881雅客居,臺南市,中西區,700,臺南市中西區西門路二段74巷3號,0968-700352,-,5,maxlouis1010@icloud.com,
2025-03-26,屏東縣民宿1548號,民宿,,否,沄玥Villa,屏東縣,恆春鎮,946,屏東縣恆春鎮大埔路16-6號,0981-770215,-,8,,
2025-03-26,連江縣民宿286號,民宿,,否,牛角一邊厝,連江縣,南竿鄉,209,連江縣南竿鄉復興村124號,0921-680326,-,3,alex68326@gmail.com,
2019-07-04,臺東縣民宿1550號,民宿,,否,海VILLA旦（月曼）民宿,臺東縣,長濱鄉,962,臺東縣長濱鄉寧埔村16鄰膽曼45之6號,0983-719997,-,5,a590119.wu@mas.hinet.net,https://oceanvilla-taitung.com/
2025-03-25,嘉義市民宿023號,民宿,,否,寓,嘉義市,東區,600,嘉義市東區共和路151號,0976-480682,-,2,,
2025-03-25,澎湖縣民宿1547號,民宿,,否,星都民宿,澎湖縣,馬公市,880,澎湖縣馬公市安宅里2鄰宅脚嶼132之6號,0919-612556,-,5,coco77882000@yahoo.com.tw,
2025-03-24,南投縣民宿1250號,民宿,,否,植蕨行旅 Residence,南投縣,國姓鄉,544,南投縣國姓鄉北山村5鄰中正路四段153-2號,0965-167123,-,3,eternal2014duke@gmail.com,
2025-03-24,南投縣民宿1252號,民宿,,否,湖心庭民宿,南投縣,埔里鎮,545,南投縣埔里鎮史港里4鄰西安路二段430號,0980-353888,-,5,4560860@gmail.com,
2025-03-24,南投縣民宿1251號,民宿,,否,缽割貓點點青旅,南投縣,埔里鎮,545,南投縣埔里鎮水頭里3鄰水頭路33號,0928-822663,-,5,33diandian@gmail.com,
2025-03-24,屏東縣民宿1546號,民宿,,否,春喃日光民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮山腳里恆公路668巷7號,0961-236012,-,5,ktv421@gmail.com,
2025-03-24,新竹縣民宿156號,民宿,,否,森悅雲海民宿,新竹縣,五峰鄉,311,新竹縣五峰鄉桃山村20鄰民石376號,0912-098508,-,12,,
2025-03-24,新竹縣民宿157號,民宿,,否,見山民宿,新竹縣,尖石鄉,313,新竹縣尖石鄉秀巒村2鄰田埔56號,0930-518909,-,5,,
2025-03-24,桃園市民宿153號,民宿,好客民宿,否,玫瑰左岸莊園,桃園市,大溪區,335,桃園市大溪區月眉里15鄰信義路2號,03-3880655,03-3883336,5,chang.hong212@msa.hinet.net,https://www.innrose.com.tw/
2025-03-21,宜蘭縣民宿2921號,民宿,,否,承臻の家,宜蘭縣,羅東鎮,265,宜蘭縣羅東鎮復興路三段455巷7號,0961-320599,-,4,jacky.wu.cm@gmail.com,
2025-03-20,臺東縣民宿2217號,民宿,,否,興昌42號民宿,臺東縣,東河鄉,959,臺東縣東河鄉興昌村興昌42號,0953-636413,-,5,lind08302005@yahoo.com.tw,
2025-03-20,澎湖縣民宿1546號,民宿,,否,茉隱灣民宿,澎湖縣,湖西鄉,885,澎湖縣湖西鄉成功村1鄰港底295之2號,0972-214213,-,4,tp6xu42k60810@gmail.com,
2025-03-20,屏東縣民宿1544號,民宿,,否,淼淼Freediving Center民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮興北路興東巷37-2號,0960-523978,-,4,estherwu1115@gmail.com,
2025-03-20,新竹縣民宿154號,民宿,,否,永泉民宿,新竹縣,尖石鄉,313,新竹縣尖石鄉嘉樂村14鄰嘉樂154之1號,0919-156159,-,5,,
2025-03-19,嘉義縣民宿408號,民宿,,否,捌之捌民宿,嘉義縣,水上鄉,608,嘉義縣水上鄉南和村後寮8之8號,0923-680093,-,3,marsh923@seed.net.tw,
2025-03-19,嘉義縣民宿409號,民宿,,否,好日子民宿,嘉義縣,中埔鄉,606,嘉義縣中埔鄉義仁村樹頭埔1之137號,0921-213466,-,4,wbl0921213466@gmail.com,
2025-03-19,金門縣民宿792號,民宿,,否,金門福見民宿,金門縣,金寧鄉,892,金門縣金寧鄉伯玉路二段217巷1號,0975-135828,-,4,lydia5678@hotmail.com,
2025-03-18,臺東縣民宿2215號,民宿,,否,One day民宿,臺東縣,臺東市,950,臺東縣臺東市安和路102巷38號,0980-817722,-,5,Oceandiary50@gmail.com,
2025-03-18,臺東縣民宿2216號,民宿,,否,山曉民宿,臺東縣,臺東市,950,臺東縣臺東市洛陽街276號,0975-311007,-,5,shandawn276@gmail.com,https://site.traiwan.com/ShanDawn/
2025-03-18,臺南市民宿801號,民宿,,否,安平浪居,臺南市,安平區,708,臺南市安平區永華十二街27巷51號,0928-595152,-,5,anpinglounge@misa.cat,
2025-03-17,新竹縣民宿153號,民宿,,否,粗坑6號民宿,新竹縣,橫山鄉,312,新竹縣橫山鄉橫山村22鄰粗坑6號,0937-420621,-,3,,
2025-03-17,苗栗縣民宿508號,民宿,,否,大山清境,苗栗縣,公館鄉,363,苗栗縣公館鄉苗栗縣公館鄉開礦村1鄰開礦10號,0911-122328,-,4,Tiffanyliu43@gmail.com,
2025-03-17,臺中市旅館503號,旅館,,否,星輝旅宿,臺中市,北區,404,臺中市北區錦南街19號3、4、5、6、7樓,04-22252267,04-22651867,39,mshotel119@gmail.com,
2025-03-14,臺南市民宿800號,民宿,,否,暮夏,臺南市,安平區,708,臺南市安平區安北路29號,0982-383129,-,4,,
2025-03-14,臺南市民宿799號,民宿,,否,馬路楊,臺南市,中西區,700,臺南市中西區忠孝街37號,06-2243092,-,5,yy71.yang@gmail.com,
2025-03-14,宜蘭縣民宿2919號,民宿,,否,陌隱,宜蘭縣,三星鄉,266,宜蘭縣三星鄉上將路一段500巷26號,0912-191226,-,4,,
2021-05-18,南投縣民宿974號,民宿,,否,屋子旅店,南投縣,埔里鎮,545,南投縣埔里鎮北門里12鄰北環路189號,0932-551602,-,2,shinyi.tai@gmail.com,
2025-03-13,臺東縣民宿2214號,民宿,,否,蘭嶼海星民宿,臺東縣,蘭嶼鄉,952,臺東縣蘭嶼鄉東清村1鄰東清35號,0928-705596,-,5,silabr0709@gmail.com,
2025-03-13,澎湖縣民宿1545號,民宿,,否,映海居民宿,澎湖縣,湖西鄉,885,澎湖縣湖西鄉沙港村1鄰沙港138之7號,0927-065353,-,5,ehg168168@gmail.com,
2025-03-12,宜蘭縣民宿2918號,民宿,,否,福好室民宿,宜蘭縣,冬山鄉,269,宜蘭縣冬山鄉三順路39巷1號,0939-710566,-,3,lori0138@gmail.com,
2025-03-11,宜蘭縣民宿2917號,民宿,,否,里奧東方礁溪民宿,宜蘭縣,礁溪鄉,262,宜蘭縣礁溪鄉礁溪鄉林尾路156之12號,0919-286636,-,4,,
2025-03-11,臺南市民宿796號,民宿,,否,mini izzy,臺南市,中西區,700,臺南市中西區民族路三段150號,0938-755021,-,1,bast950125@gmail.com,
2025-03-11,宜蘭縣民宿2913號,民宿,,否,覺空間,宜蘭縣,員山鄉,264,宜蘭縣員山鄉賢好路16號,0988-768452,-,3,,
2025-03-11,金門縣民宿791號,民宿,,否,艾曼達民宿,金門縣,金城鎮,893,金門縣金城鎮後豐港501號,082-311477,-,5,amandabnb501@gmail.com,
2025-03-10,嘉義縣民宿407號,民宿,,否,Akari民宿,嘉義縣,中埔鄉,606,嘉義縣中埔鄉義仁村樹頭埔1之170號,0978-528823,-,3,cyn89155@gmail.com,
2025-03-10,屏東縣民宿1542號,民宿,,否,赤橙民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮南灣路48-2號,0956-577092,-,5,ktsunshineliving@gmail.com,
2025-03-10,臺東縣民宿2213號,民宿,,否,希伯崙民宿,臺東縣,關山鎮,956,臺東縣關山鎮中山路63號,0932-745303,-,1,jojolovejohn9133@gmail.com,
2025-03-07,宜蘭縣民宿2911號,民宿,,否,好好民宿,宜蘭縣,冬山鄉,269,宜蘭縣冬山鄉武罕三路131巷12號,0915-229591,-,3,,
2025-03-07,宜蘭縣民宿2916號,民宿,,否,候鳥宜居,宜蘭縣,五結鄉,268,宜蘭縣五結鄉錦草一路208號,0912-095235,-,5,jessica0801tw@yahoo.com,
2025-03-07,宜蘭縣民宿2915號,民宿,,否,日光百合,宜蘭縣,三星鄉,266,宜蘭縣三星鄉大義二路112號,0920-293188,-,4,ma20293188@gmail.com,
2025-03-07,宜蘭縣民宿2914號,民宿,,否,墨藝民宿,宜蘭縣,三星鄉,266,宜蘭縣三星鄉大埔七路18號,0932-265657,-,5,pinwei47@gmail.com,
2025-03-07,臺南市民宿793號,民宿,,否,安平小洋房,臺南市,安平區,708,臺南市安平區世平五街47號,06-2220837,06-2220837,5,micky.young@kimo.com,
2025-03-07,屏東縣民宿1541號,民宿,,否,宿栖SuQi民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮恆南路2巷58號,0989-011110,-,5,suqiinn@gmail.com,
2025-03-07,臺南市民宿798號,民宿,,否,艾莎公寓,臺南市,中西區,700,臺南市中西區大智街59號之1,06-2219090,-,5,elsahouse9090@gmail.com,
2025-03-07,南投縣民宿1249號,民宿,,否,雅德客舍,南投縣,埔里鎮,545,南投縣埔里鎮北門里1鄰中山路二段294號,0900-775435,-,5,lairen100@gmail.com,
2021-12-14,澎湖縣民宿1204號,民宿,好客民宿,否,佳宏馥居民宿,澎湖縣,馬公市,880,澎湖縣馬公市西衛里24鄰西衛423號,0975-689937,-,5,chiahung1204@gmail.com,
2025-03-06,屏東縣民宿1543號,民宿,,否,曉木民宿,屏東縣,恆春鎮,946,屏東縣恆春鎮四溝里興北路興東巷9弄6號,0984-099001,-,8,,
2025-03-05,宜蘭縣民宿2912號,民宿,,否,荷芳軒,宜蘭縣,冬山鄉,269,宜蘭縣冬山鄉鹿埔路460巷118號,0928-836268,-,4,njf836268@yahoo.com.tw,
2025-03-05,新竹縣民宿151號,民宿,,否,芭莰蝶慕民宿,新竹縣,五峰鄉,311,新竹縣五峰鄉大隘村19鄰茅圃376之2號臨,0989-573899,-,5,,
2025-03-05,新竹縣民宿152號,民宿,,否,山朵花民宿,新竹縣,尖石鄉,313,新竹縣尖石鄉義興村9鄰馬胎93之5號臨,0982-061777,-,3,,
